OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
264,Passport Canada,N.A.,N.A.,"Treasury Board Decision No. 813855, April 1, 1990","Passport Canada was established in 1990 as a federal special operating agency responsible for the issuing, revoking, withholding, recovery and use of Canadian passports. The agency reports to Parliament through the Minister of Foreign Affairs and International Trade Canada and derives its mandate from the Canadian Passport Order. The agency provides guidance to missions issuing passports abroad and supervises all matters relating to Canadian travel documents.",N.A.,Special Operating Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1990,N.A.,N.A.,N.A.,N.A.,Transferred,2013,Order Transferring the Control and Supervision of Certain Portions of the Federal Public Administration in Passport Canada from the Department of Foreign Affairs and International Trade to the Department of Citizenship and Immigration and to the Department of Human Resources and Skills Development (SI/2013-56).
266,Patented Medicine Prices Review Board,Patented Medicine Prices Review Board Canada,www.pmprb-cepmb.gc.ca,"Patent Act, R.S.C. 1985, c. P-4","The Patented Medicine Prices Review Board (PMPRB) is an independent,  quasi-judicial body created by Parliament in 1987. Its mandate is two-fold:    Regulatory – to ensure that prices charged by patentees for patented medicines sold in Canada are not excessive; and   Reporting – to report on pharmaceutical trends of all medicines and on R&D spending by pharmaceutical patentees.     In carrying out its mandate, the PMPRB ensures that Canadians are  protected from excessive prices for patented medicines sold in Canada  and that stakeholders are informed on pharmaceutical trends.    The Minister of Health is responsible for this organization.",Health,Departmental Agencies,PXR,I.1,IV,Minister of Health,N.A.,N.A.,1987,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
267,Pension Appeals Board,N.A.,N.A.,"Canada Pension Plan, R.S.C. 1985, c. C-8","The Pension Appeals Board is the final opportunity for appeal under the Canada Pension Plan. Pension Appeals Board hearings are not automatic, and claimants or the Minister must request ""leave to appeal."" Appeals heard by the Board are by way of a new hearing and take place in every province of Canada. Written reasons for a decision are given on every appeal. Decisions of the Pension Appeals Board, except as provided in sections 18 and 28 of the Federal Courts Act, are final and binding for all purposes of the Canada Pension Plan. The Pension Appeals Board hears and decides appeals under the Canada Pension Plan (R.S., 1985, c. C-8) section 83.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1965,N.A.,N.A.,N.A.,N.A.,Transferred,2013,N.A.
268,Physical Resources Bureau,N.A.,www.international.gc.ca/international/index.aspx?lang=eng&view=d,"Treasury Board Decision No. 820420, July 1, 1993","The Physical Resources Bureau is the organizational unit, within the Department of Foreign Affairs, Trade and Development (DFATD), that is charged with the responsibility for providing office and residential accommodation abroad, primarily in support of DFATD and other government departments' program requirements.",Global Affairs,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1993,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
269,"Pierre Elliott Trudeau Foundation, The",N.A.,www.trudeaufoundation.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23","The Pierre Elliott Trudeau Foundation develops and promotes ideas and innovation in the social sciences and humanities fields. Through its prestigious Doctoral Scholarship, Fellowship, Mentorship and Public Interaction programs, the Foundation supports outstanding individuals who have the drive and ability to take on some of modern society’s most critical issues.","Innovation, Science and Economic Development",Shared-Governance Corporations,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2001,PricewaterhouseCoopers LLP,N.A.,31-Aug,2/18 board members,Active,N.A.,N.A.
270,Porcupine Caribou Management Board,N.A.,www.pcmb.ca,Order-in-Council P.C. 1985-1/3218,To make recommendations and to provide advice on those aspects of the conservation of the Porcupine Caribou Herd and its habitat that require coordination between jurisdictions.,Environment and Climate Change,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Environment and Climate Change,N.A.,N.A.,1985,"Michael McKay, CGA",N.A.,31-Mar,1/9 board members,Active,N.A.,N.A.
271,Port Alberni Port Authority,N.A.,www.portalberniportauthority.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Dickson Dusanj & Wirk LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
273,Prairie Farm Rehabilitation Administration,N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,REA,N.A.,IV,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Active,N.A.,Non-operational.
274,Prince George 2015 Canada Winter Games Host Society,N.A.,www.canadagames2015.ca,"Society Act, R.S.B.C.1996, c. 433","To plan, manage, promote, conduct and deliver the 2015 Canada Winter Games in accordance with the Agreement to Undertake signed by the Canada Games Council and the City of Prince George.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Sport and Persons with Disabilities,N.A.,N.A.,2011,Deloitte & Touche LLP,N.A.,31-Mar,1/17 board members,Active,N.A.,N.A.
275,Prince George Airport Authority Inc.,N.A.,www.pgairport.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2003,Deloitte LLP,N.A.,31-Dec,2/12 board members,Active,N.A.,N.A.
276,Prince Rupert Port Authority,N.A.,www.rupertport.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Grant Thornton LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
277,PrioNet Canada,N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32","To develop strategies to mitigate and ultimately eradicate prion diseases in order to help solve the food, health safety, and socio-economic problems associated with prion diseases such as bovine spongiform encephalopathy, Creutzfeldt-Jakob disease in humans, and chronic wasting disease in deer and elk.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
278,Privy Council Office,Privy Council Office,www.pco-bcp.gc.ca,Order in Council P.C. 1940-1121,"The mandate of the Privy Council Office (PCO) is to serve Canada and  Canadians by providing professional, non-partisan advice and support to  the Prime Minister, the ministers within the Prime Minister’s portfolio  and Cabinet. The Prime Minister is responsible for this organization.    PCO supports the development of the Government of Canada’s policy and  legislative agendas, coordinates responses to issues facing the  Government and the country, and supports the effective operation of  Cabinet. PCO is led by the Clerk of the Privy Council. In addition to  serving as the Deputy Head for PCO, the Clerk also acts as Secretary to the Cabinet and the Head of the Public Service.    Additional information can be found in PCO’s Report on Plans and Priorities.",Privy Council,Departmental Agencies,PCO,I.1,IV,Prime Minister,N.A.,N.A.,1867,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
279,Public Appointments Commission Secretariat,N.A.,N.A.,N.A.,N.A.,N.A.,Departmental Agencies,PCM,N.A.,N.A.,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
280,Public Health Agency of Canada,Public Health Agency of Canada,www.phac-aspc.gc.ca,"Public Health Agency of Canada Act, S.C. 2006, c. 5 Order-in-Council P.C. 2004-1068","The Minister of Health is responsible for this organization.    Public health involves the organized efforts of society to keep people  healthy and to prevent injury, illness and premature death. The Public  Health Agency of Canada (the Agency) has put in place programs, services  and policies that protect and promote the health of all Canadians which  form part of “public health”. In Canada, public health is a responsibility that is shared by all three levels of government in  collaboration with the private sector, non-governmental organizations, health professionals and the public.    In September 2004, the Agency was created within the federal Health  Portfolio to deliver on the Government of Canada’s commitment to  increase its focus on public health in order to help protect and improve  the health and safety of all Canadians and to contribute to strengthening  public health capacities across Canada.",Health,Departmental Agencies,AHS,I.1,IV,Minister of Health,N.A.,N.A.,2004,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
281,Public Sector Pension Investment Board,N.A.,www.investpsp.ca,"Public Sector Pension Investment Board Act, S.C. 1999, c. 34","To manage the amounts transferred under the Canadian Forces Superannuation Act, the Public Service Superannuation Act, and the Royal Canadian Mounted Police Superannuation Act (the “Acts”) in the best interests of the contributors and beneficiaries under those Acts and to invest the assets with a view to achieving a maximum rate of return, without undue risk of loss, having regard to the funding, policies and requirements of the pension plans established under the Acts and the ability of those pension plans to meet their financial obligations.",Treasury Board,Crown Corporations,SPI,N.A.,N.A.,President of the Treasury Board,N.A.,N.A.,1999,Deloitte LLP and Auditor General of Canada,Auditor General of Canada,31-Mar,N.A.,Active,N.A.,N.A.
282,Public Service Commission,Public Service Commission of Canada,www.psc-cfp.gc.ca,"Public Service Employment Act, S.C. 2003, c. 22, ss. 12, 13","The Minister of Public Services and Procurement is responsible for the Public Service Commission (PSC) for the purpose of the   Financial Administration Act  and to table the PSC Annual Report under the  Public Service Employment Act  (PSEA). The PSC reports  independently on its mandate to Parliament.    The mandate of the PSC is to promote and safeguard merit-based  appointments and, in collaboration with other stakeholders, to protect  the non-partisan nature of the public service. Under the delegated  staffing system set out in the PSEA, the PSC fulfills its mandate by  providing policy guidance and expertise, as well as by conducting  effective oversight. In addition, the PSC delivers innovative staffing and assessment services.    Additional information can be found in the PSC’s Annual Report.",Public Services and Procurement,Departmental Agencies,PSC,I.1,IV,Minister of Public Services and Procurement,N.A.,N.A.,1908,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
284,Public Service Labour Relations Board,N.A.,N.A.,"Public Service Labour Relations Act, S.C. 2003, c. 22. s. 2","To provide adjudication, mediation, and compensation analysis and research services in the federal public service and to administer the collective bargaining and grievance adjudication systems in Parliament as mandated by the Parliamentary Employment and Staff Relations Act.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2005,N.A.,N.A.,N.A.,N.A.,Transferred,2014,N.A.
285,Public Service Staffing Tribunal,N.A.,N.A.,"Public Service Employment Act, S.C. 2003, c. 22, ss. 12, 13","To deal with complaints related to internal appointments, layoffs, the implementation of corrective measures ordered by the Tribunal, and revocations of appointments.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2005,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Public Service Labour Relations and Employment Board Act, the Public Service Staffing Tribunal was merged with the Public Service Labour Relations Board into the Public Service Labour Relations and Employment Board, and pursuant to the Administrative Tribunals Support Service of Canada Act, the Public Service Labour Relations and Employment Board was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
286,Québec Port Authority,N.A.,www.portquebec.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,PricewaterhouseCoopers LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
287,Regina Airport Authority Inc.,N.A.,www.yqr.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,KPMG LLP,N.A.,31-Dec,2/13 board members,Active,N.A.,N.A.
288,Registrar of the Supreme Court of Canada,N.A.,www.scc-csc.ca,"Supreme Court Act, R.S.C. 1985, c. S-26","Created by an Act of Parliament in 1875, the Supreme Court of Canada is Canada’s final court of appeal.  It serves Canadians by deciding legal issues of public importance, thereby contributing to the development of all branches of law applicable within Canada.  
The independence of the Court, the quality of its work and the esteem in which it is held both in Canada and abroad contribute significantly as foundations for a secure, strong and democratic country founded on the Rule of Law.  The Supreme Court of Canada is an important national institution, positioned at the pinnacle of the judicial branch of government in Canada, separate from and independent of the executive and legislative branches of government.  The Office of the Registrar of the Supreme Court of Canada provides all necessary services and support for the Court to process, hear and decide cases.  It also serves as the interface between litigants and the Court. The Minister of Justice and Attorney General of Canada is responsible for this organization.",Justice,Departmental Agencies,SUC,I.1,IV,Minister of Justice and Attorney General of Canada,N.A.,N.A.,1875,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act (Financial Administration Act: Schedule I.1); Staff of the Supreme Court (Financial Administration Act: Schedule IV)
289,Registry of the Competition Tribunal,N.A.,N.A.,"Competition Tribunal Act, R.S.C. 1985, c. 19, (2nd Supp.)",To provide support to the Competition Tribunal for its business line—the hearing of applications and the issuance of orders related to the civil reviewable matters set out in Parts VII.1 and VIII of the Competition Act.,N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1986,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Registry of the Competition Tribunal was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
290,Registry of the Public Servants Disclosure Protection Tribunal,N.A.,N.A.,"Public Servants Disclosure Protection Act, S.C. 2005, c. 46","To provide support to the Public Servants Disclosure Protection Tribunal, which protects public servants from reprisal following their disclosure of wrongdoing; it deals with reprisal complaints referred by the Public Sector Integrity Commissioner.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2007,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Registry of the Public Servant Disclosure Protection Tribunal was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
291,Registry of the Specific Claims Tribunal,N.A.,N.A.,"Specific Claims Tribunal Act, S.C. 2008, c. 22","To facilitate timely access to the Specific Claims Tribunal through client service, quality of advice, efficient and timely processing, and unbiased service delivery; To ensure the smooth and efficient functioning of hearings; To promote awareness and understanding of the Specific Claims Tribunal Act and related rules and procedures; and To safeguard the judicial independence of the Specific Claims Tribunal by placing them at arm’s length from the Government of Canada while providing the judges of the Specific Claims Tribunal with all the necessary tools and resources to perform their duties.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2008,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Registry of the Specific Claims Tribunal was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
292,Ridley Terminals Inc.,N.A.,www.rti.ca,"Canada Business Corporations Act, R.S.C. 1985, c. C-44 Financial Administration Act, R.S.C. 1985, c. F-11","To provide continuous, high-quality, and high-performance rail car unloading, product storage, and loading services as a marine terminal and to operate in a commercial manner.",Transport,Crown Corporations,RID,III,N.A.,Minister of Transport,N.A.,N.A.,1981,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
293,Roosevelt Campobello International Park Commission,N.A.,www.fdr.net,"The Roosevelt Campobello International Park Commission Act, S.C. 1964-65, c. 19","Under the international treaty, the Commission was charged to take the necessary measures to restore the Roosevelt home as closely as possible to its condition when it was occupied by President Franklin Delano Roosevelt, and to administer, as a memorial, the Roosevelt Campobello International Park. The treaty specifies that the two countries share equally in the costs of development, operation, and maintenance of the Park. Canadian budget approval lies with the Department of Foreign Affairs, Trade and Development. In the United States, budget approval lies with the Office of Management and Budget and the US Congress.",Global Affairs,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1964,Foster Carpenter Black & Co. LLP,N.A.,31-Dec,3/6 board members,Active,N.A.,N.A.
294,Royal Canadian Mint,N.A.,www.mint.ca,"Royal Canadian Mint Act, R.S.C. 1985, c. R-9","In accordance with the Royal Canadian Mint Act, the Mint is to mint coins in anticipation of profit and to carry out other related activities.",Finance,Crown Corporations,MNT,III,N.A.,Minister of Finance,N.A.,N.A.,1969,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,N.A.
295,Royal Canadian Mounted Police,N.A.,www.rcmp-grc.gc.ca,"Royal Canadian Mounted Police Act, R.S.C. 1985, c. R-10","The Minister of Public Safety and Emergency Preparedness is responsible for this organization.    As Canada’s national police force, the Royal Canadian Mounted Police  (RCMP) is a critical element of the Government of Canada’s commitment to  providing for the safety and security of Canadians. By tackling crime at  the municipal, provincial/territorial, federal and international levels,  the RCMP provides integrated approaches to safety and security and a  consistent federal role and presence from coast to coast to coast.    The RCMP’s mandate, as outlined in section 18 of the  Royal Canadian Mounted Police Act , is multi-faceted. It includes preventing and  investigating crime; maintaining peace and order; enforcing laws;  contributing to national security; ensuring the safety of state  officials, visiting dignitaries and foreign missions; and providing  vital operational support services to other police and law enforcement agencies within Canada and abroad.",Public Safety and Emergency Preparedness,Departmental Agencies,RCM,I.1,IV,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,1873,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
296,Royal Canadian Mounted Police External Review Committee,RCMP External Review Committee,www.erc-cee.gc.ca,"Royal Canadian Mounted Police Act, R.S.C. 1985, c. R-10","The Royal Canadian Mounted Police (RCMP) External Review Committee (ERC)  contributes to fair and equitable labour relations and accountability  within the RCMP through its independent and impartial review of appeal  case files. The ERC issues findings and recommendations to the  Commissioner of the RCMP for final decisions to be made in appeals  regarding critically important matters (e.g. appeals of decisions in  harassment complaints, and of decisions to dismiss or demote an RCMP  member for contravention of the RCMP Code of Conduct, to stop a member’s  pay and allowances when a member has been suspended from duty or to  discharge a member for poor performance). The RCMP is required to refer  appeal case files to the ERC for its review, findings and recommendations pursuant to the  Royal Canadian Mounted Police Act   and the  Royal Canadian Mounted Police Regulations .    The Minister of Public Safety and Emergency Preparedness is responsible for this organization.",Public Safety and Emergency Preparedness,Departmental Agencies,REC,I.1,IV,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,1986,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
298,Saguenay Port Authority,N.A.,www.portsaguenay.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte s.e.n.c.r.l.,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
299,Saint John Airport Inc.,N.A.,www.saintjohnairport.com,"Companies Act, R.S.N.B. 1973, c. C-13","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Teed Saunders Doyle & Co.,N.A.,31-Dec,2/15 board members,Active,N.A.,N.A.
300,Saint John Port Authority,N.A.,www.sjport.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,PricewaterhouseCoopers LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
301,Saskatoon Airport Authority,N.A.,www.yxe.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte LLP,N.A.,31-Dec,2/12 board members,Active,N.A.,N.A.
345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,N.A.,N.A.,"National Security and Intelligence Committee of Parliamentarians Act, S.C. 2017, c. 15","The mandate of the Committee is to review (a) the legislative, regulatory, policy, administrative and financial framework for national security and intelligence; (b) any activity carried out by a department that relates to national security or intelligence, unless the activity is an ongoing operation and the appropriate Minister determines that the review would be injurious to national security; and (c) any matter relating to national security or intelligence that a minister of the Crown refers to the Committee. If the appropriate Minister determines that a review would be injurious to national security, he or she must inform the Committee of his or her determination and the reasons for it. If the appropriate Minister determines that the review would no longer be injurious to national security or if the appropriate Minister is informed that the activity is no longer ongoing, he or she must inform the Committee that the review may be conducted.",Privy Council,Departmental Agencies,N.A.,I.1,IV,Leader of the Government in the House of Commons,N.A.,N.A.,2017,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
302,Security Intelligence Review Committee,N.A.,www.sirc-csars.gc.ca,"Canadian Security Intelligence Service Act, R.S.C. 1985, c. C-23","The Security Intelligence Review Committee (SIRC) is an independent,  external review body that reports to the Parliament of Canada on the  operations of the Canadian Security Intelligence Service (CSIS).  The Prime Minister is responsible for this organization.    SIRC exists to provide assurances to Parliament and to all citizens of  Canada that CSIS investigates and reports on threats to national  security in a manner that respects the rule of law and the rights of  Canadians.  To do this, SIRC certifies the CSIS Director’s annual report to the Minister of Public Safety and Emergency Preparedness, carries  out in-depth reviews of CSIS’s activities and investigates complaints.  SIRC has the absolute authority to examine all information under CSIS’s  control, no matter how classified or sensitive. The results of this  work, edited to protect national security and personal privacy, are summarized in SIRC’s Annual Report to Parliament.",Privy Council,Departmental Agencies,SIR,I.1,V,Prime Minister,N.A.,N.A.,1984,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
303,Senate,N.A.,www.parl.gc.ca,"Parliament of Canada Act, R.S.C., 1985, c. P-1","As parliamentarians, senators serve Canadians in many ways. They review proposed laws and regulations; suggest solutions to societal problems; keep important issues in current debate; carry out research; act as federal ombudsmen for the people of their communities; and serve as ambassadors abroad for our country and its system of governance.",Parliament,Parliamentary Entities,SEN,N.A.,N.A.,N.A.,N.A.,N.A.,1867,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
251,Senate Ethics Officer,N.A.,sen.parl.gc.ca/seo-cse/eng/Home-e.html,"Parliament of Canada Act, R.S.C., 1985, c. P-1",The mandate of the Senate Ethics Officer is to administer and interpret the Code for Senators that sets out standards of conduct for Members of the Senate.,Parliament,Parliamentary Entities,ESN,N.A.,N.A.,N.A.,N.A.,N.A.,2005,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
304,Sept-Îles Port Authority,N.A.,www.portsi.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Mallette s.e.n.c.r.l.,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
305,Shared Services Canada,Shared Services Canada,www.ssc.gc.ca,Shared Services Canada Act,"Shared Services Canada (SSC) was created on August 4, 2011, to transform  how the Government of Canada manages its information technology (IT)  infrastructure. SSC is delivering email, data centre, network and  workplace technology device services to departments and agencies in a  consolidated and standardized manner to support the delivery of  Government of Canada programs and services. With a whole-of-government  approach to IT infrastructure services, SSC is creating economies of  scale to deliver more efficient, reliable and secure IT infrastructure  services. SSC also provides certain optional services to other organizations on a cost-recovery basis.    The Minister of Public Services and Procurement is responsible for this organization.",Public Services and Procurement,Departmental Agencies,GSS,I.1,IV,Minister of Public Services and Procurement,N.A.,N.A.,2011,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
306,Social Sciences and Humanities Research Council,Social Sciences and Humanities Research Council of Canada,www.sshrc-crsh.gc.ca,"Social Sciences and Humanities Research Council Act, R.S.C. 1985, c. S-12","The Minister of Innovation, Science and Economic Development is responsible for this organization.     The Social Sciences and Humanities Research Council (SSHRC) funds  research and research training that builds knowledge about people, past  and present, with a view toward creating a better future. From questions  of family and culture to concerns about jobs and employment, research  about people – how we live, what we think, how we act – informs new  knowledge and insights on the issues that matter most to Canadians.    SSHRC plays a unique role within Canada’s science, technology and  innovation system by awarding grants and scholarships to researchers,  students and fellows who work as individuals, in small groups and in  formal partnerships to develop talent, generate insights and build connections that address the needs of all sectors of society.","Innovation, Science and Economic Development",Departmental Corporations,SSH,II,V,"Minister of Innovation, Science and Economic Development",Minister of Science,N.A.,1977,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
307,Social Security Tribunal,N.A.,N.A.,"Human Resources and Skills Development Act, S.C. 2005, c. 24",N/A,N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2012,N.A.,N.A.,N.A.,N.A.,Transferred,2013,N.A.
308,Sport Dispute Resolution Centre of Canada,N.A.,www.crdsc-sdrcc.ca,"Physical Activity and Sport Act, S.C. 2003, c. 2",To provide to the Canadian sport community a national-level alternative dispute resolution service for sport as well as expertise and assistance regarding alternative dispute resolution.,Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,2004,Collins Barrow Montreal LLP,N.A.,31-Mar,12/12 board members,Active,N.A.,N.A.
309,St. John’s International Airport Authority,N.A.,www.stjohnsairport.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1998,PricewaterhouseCoopers LLP,N.A.,31-Dec,2/12 board members,Active,N.A.,N.A.
310,St. John’s Port Authority,N.A.,www.sjpa.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
311,St. Lawrence Seaway Management Corporation,N.A.,www.greatlakes-seaway.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",To manage and operate the St. Lawrence Seaway pursuant to a management agreement entered into between the St. Lawrence Seaway Management Corporation and Her Majesty the Queen.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1998,Ernst & Young LLP,N.A.,31-Mar,1/9 board members,Active,N.A.,N.A.
545,"Staff of the Non-Public Funds, Canadian Forces",N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,FPF,N.A.,V,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Active,N.A.,N.A.
312,Standards Council of Canada,N.A.,www.scc.ca,"Standards Council of Canada Act, R.S.C. 1985, c. S-16","To oversee Canada’s standardization system by promoting efficient and effective voluntary standardization in Canada, when standardization is not expressly provided for by law, in order to advance the national economy, support sustainable development, benefit the health, safety, and welfare of workers and the public, assist and protect consumers, facilitate domestic and international trade, and further international cooperation in relation to standardization.","Innovation, Science and Economic Development",Crown Corporations,STD,III,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1970,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
313,Statistics Canada,Statistics Canada,www.statcan.gc.ca,"Statistics Act, R.S.C. 1985, c. S-19
Corporations Returns Act, R.S.C. 1985, c. C-43","Statistics Canada’s mandate derives primarily from the Statistics Act. The Act requires the agency to collect, compile, analyse and publish statistical information on the economic, social and general activities and conditions of Canada and its people; to collaborate with departments of government in the collection and publication of statistical information; to take the census of population of Canada and the census of agriculture of Canada every five years; to promote the avoidance of duplication in the information collected by departments of government; to promote and develop integrated statistics pertaining to the whole of Canada and to each of the provinces thereof; and to protect the confidentiality of the information with which it is entrusted.","Innovation, Science and Economic Development",Departmental Agencies,STC,I.1,IV,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1918,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
